year,nicu,name,addr,city_state_zip,level,beds,neonatologists,refer
1996,1,SHELBY MEDICAL CENTER,"1000 First St. NL, P.O. Box 488","Alabaster, AL 35007-0488",,6,NA,Refer to Children’s Hospital of Alabama
1996,2,BROOKWOOD MEDICAL CENTER,2010 Brookwood Medical Center Dr.,"Birmingham, AL 35209",,18,2,
1996,3,COOPER GREEN HOSPITAL,1515 Sixth Ave.,"Birmingham, AL 35233",,2,NA,
1996,4,MEDICAL CENTER EAST,"50 Medical Park Dr. E,","Birmingham, AL 35235",,NA,NA,Refer to Children's Hospital of Alabama
1996,5,MONTCLAIR BAPTIST MEDICAL. CENTER,800 Montclair Rd.,"Birmingham, AL 35213",,12,NA,Refer to Children's Hospital of Alabama
1996,6,PRINCETON BAPTIST MEDICAL CENTER,"201 Princeton Ave, S,W,","Birmingham, AL 35211",,8,NA,Refer to Children's Hospital of Alabama
1996,7,ST. VINCENT'S HOSPITAL,2660 10th Ave. S.,"Birmingham, AL 36205",,23,2,
1996,8,UNIVERSITY OF ALABAMA HOSPITAL CHILDREN'S HOSPITAL OF ALABAMA,619 S. 20th St.,"Birmingham, AL 35233",,78,7,
1996,9,UNIVERSITY OF SO. ALABAMA MEDICAL CENTER,2451 Fillingim St.,2451 Fillingim St.,,45,6,
1996,10,BAPTIST MEDICAL CENTER,"2105 E. South Blvd,",Montgomery. AL 36116,,24,6,
1996,11,DRUID CITY HOSPITAL REGIONAL MEDICAL CENTER,"809 University Blvd, E.","Tuscaloosa, AL 35401",,20,2,
1996,12,PROVIDENCE HOSPITAL,"3400 Providence Dr,","Anchorage, AK 99519",,36,6,
1996,13,USNH - OKINAWA,PSC 482 - Box 86 USNH,"FPO, AP 96363-1695",,NA,2,
1996,14,CHANDLER REGIONAL HOSPITAL.,475 S. Dobson Rd.,"Chandler, AZ 85224",,3,NA,Refer to Desert Samaritan Medical Center
1996,15,FLAGSTAFF MEDICAL CENTER A,1200 N. Beaver St.,"Flagstaff, AZ 86001",,12,1,
1996,16,THUNDERBIRD SAMARITAN MEDICAL CENTER,5655 W. Thunderbird Rd.,"Glendale, AZ 85306",,10,NA,Refer to Phoenix Children's Hospital
1996,17,DESERT SAMARITAN MEDICAL CENTER,"1400 S, Dobson Rd.","Mesa, AZ 85202",,18,2,Refer to Phoenix Children's Hospital
1996,18,MARICOPA MEDICAL CENTER Y,2601 E. Roosevelt St.,"Phoenix, AZ 85010",,30,4,
1996,19,MARYVALE SAMARITAN MEDICAL Y CENTER,"5102 W, Campbell Ave.","Phoenix, AZ 85031",,4,NA,
1996,20,PHOENIX CHILDREN'S HOSPITAL,1111 &. Mc Dowell Rd.,"Phoenix, AZ 85006",,45,6,
1996,21,PHOENIX MEMORIAL HOSPITAL,"1201 S, 7th Ave./Box 1201","Phoenix, AZ 85007",,12,NA,
1996,22,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 W. Thomas Rd.,"Phoenix, AZ 85013",,42,5,
1996,23,ANHSC/CRC,"Depariment of Pediatrics, Rm. 3341
1501 N. Campbell Ave.","Tucson, AZ 85724",,30,7,
1996,24,CARONDELET ST. JOSEPH'S HOSPITAL,"350 N, Wilmont Rd.","Tucson, AZ 85711",,17,2,
1996,25,TUCSON MEDICAL CENTER,5301 E. Grant Rd.,"Tucson, AZ 85733",,32,NA,"Refer to AHSC/CRC, Tuscon"
1996,26,UNIVERSITY MEDICAL CENTER,1501 N. Campbell Ave.,"Tucson, AZ 85724",,32,NA,"Refer to AHSC/CRC, Tucson"
1996,27,ARKANSAS CHILDREN'S HOSPITAL -,800 Marshall,"Little Rock, AR 72202",,46,12,
1996,28,BAPTIST MEDICAL CENTER,"9601 interstate 630, Exit 7","Little Rock, AR 72205",,18,NA,Refer to HCA Doctor's Hospital
1996,29,COLUMBIA DOCTOR'S HOSPITAL,"W, Capitol & University Ave.","Little Rock, AR 72205",,16,NA,Refer to HCA Doctor's Hospital
1996,30,HCA DOCTORS HOSPITAL,6101 W. Capitol,"Little Rock, AR 72205",,20,4,
1996,31,ST. VINCENT INFIRMARY MEDICAL CENTER,Two St. Vincent Circle,"Little Rock, AR 72205",,14,NA,Refer to HCA Doctor's Hospital
1996,32,THE UNIVERSITY HOSPITAL OF ARKANSAS,4301 W. Markham St.,"Little Rock, AR 72205",,35,NA,Refer to Arkansas Children's Hospital
1996,33,KAISER PERMANENTE MEDICAL CENTER - ANAHEIM,441 N. Lakeview Ave.,"Anaheim, CA 92807",,8,4,
1996,34,MARTIN LUTHER HOSPITAL,"1830 W. Romneya Dr,","Anaheim, CA 92803",,NA,8,
1996,35,ST. MARY DESERT VALLEY ¥ HOSPITAL,18300 Highway 18,"Apple Valley, CA 92307",,8,1,
1996,36,BAKERSFIELD MEMORIAL HOSPITAL,"420 34th St,","Bakersfield, CA 93301",,12,3,
1996,37,KERN MEDICAL CENTER,1830 Flower St.,"Bakersfield, CA 93305",,28,2,
1996,38,KAISER PERMANENTE MEDICAL CENTER - BELLFLOWER,9400 E. Rosecrans Ave.,"Bellflower, CA 90706",,38,2,
1996,39,"BERKELEY, CA ALTA BATES MEDICAL CENTER","2450 Ashby Ava,","Berkeley, CA 94705",,40,2,
1996,40,ST. JOSEPH MEDICAL CENTER.,"501 S, Buena Vista St.","Burbank, CA 91505",,20,3,
1996,41,MERCY SAN JUAN HOSPITAL,6501 Coyle Ave.,"Carmichael, CA 95608",,18,5,
1996,42,SCRIPPS MEMORIAL HOSPITAL CHULA VISTA,"435 ""H"" St,","Chula Vista, CA 91910",,10,NA,Refer to Children's Hospital of San Diego
1996,43,INTER-COMMUNITY MEDICAL CENTER /,210 W. San Bernardino Rd.,"Covina, CA 91723",,8,4,
1996,44,EL CENTRO REGIONAL MEDICAL CENTER,1415 Ross Ave.,"El Centro, CA 92443",,4,3,
1996,45,PALOMAR MEDICAL CENTER,555 E. valley Pky.,"Escondido, CA 92025",,6,NA,Refer to Children's Hospital of San Diego
1996,46,NORTHBAY MEDICAL CENTER,1200 B. Gale Wilson Bivd.,"Fairfied, CA 94533",,16,2,
1996,47,KAISER PERMANENTE MEDICAL CENTER - FONTANA,9961 Sierra Ave.,"Fontana, CA 92335",,36,4,
1996,48,FHP HOSPITAL,9920 Talbert Ave.,"Fountain Valley, CA 92728",,12,2,
1996,49,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,17100 Euclid,"Fountain Valley, CA 92708",,14,6,
1996,50,FRESNO COMMUNITY HOSPITAL & MEDICAL CENTER,2776 W. Wrenwood Ave.,"Fresno, CA 93711",,10,NA,Refer to Valley Children's Hospital
1996,51,SAINT AGNES MEDICAL CENTER,1303 E. Herndon,"Fresno, CA 93720",,5,NA,Refer to Valley Children’s Hospital
1996,52,VALLEY CHILDREN'S HOSPITAL,3157 N. Millbrook,"Fresno, CA 93703",,41,4,
1996,53,VALLEY MEDICAL CENTER OF FRESNO,"445 S, Cedar Ave.","Fresno, CA 93702",,12,NA,Refer to Valley Children's Hospital
1996,54,ST. JUDE MEDICAL CENTER,101 E. Valencia Mesa Dr.,"Fullerton, CA 92635",,6,6,
1996,55,AMI GARDEN GROVE HOSPITAL AND MEDICAL. CENTER,12601 Garden Grove Blvd.,"Garden Grove, CA 92643",,12,NA,Refer to Children's Hospital of Orange County
1996,56,GLENDALE ADVENTIST MEDICAL CENTER,1509 Wilson Terrace,"Glendale, CA 91206",,8,3,
1996,57,MARIN GENERAL HOSPITAL,250 Bon Alr Rd.,"Greenbrae, CA 94904",,8,NA,"Refer to California Pacific Medical Center, San Francisco"
1996,58,KAISER PERMANENTE MEDICAL CENTER - HARBOR CITY,26526 S. Vermont,Harbor City CA 90710,,3,1,
1996,59,KAISER PERMANENTE MEDICAL CENTER - HAYWARD,27400 Hesperian Blvd.,"Hayward, CA 94545",,15,4,
